#{"t_start": 1636648820.5733533, "env_id": "Reacher-v2"}
r,l,t
-8.065209,5,2.389685
-8.132047,5,2.455799
-5.91373,5,2.463941
-4.655695,5,2.472718
-4.749529,5,2.48073
-9.2681,5,2.488486
-6.749138,5,2.496292
-6.013967,5,2.503945
-4.953817,5,2.511396
-6.859591,5,2.518781
-4.102573,5,2.526165
-4.197052,5,2.533472
-5.582456,5,2.540711
-6.759479,5,2.547964
-4.914669,5,2.555116
-8.047673,5,2.562336
-3.790607,5,2.569519
-6.445051,5,2.576756
-5.698573,5,2.58393
-4.5343,5,2.591077
-6.361441,5,2.598245
-7.615189,5,2.605363
-5.762315,5,2.612615
-7.676051,5,2.619752
-3.903712,5,2.626856
-6.709639,5,2.634065
